"player","pos","age","contract_type","cap_hit","cap_hit_pct_league_cap","team","year"
"Aaron Brooks","PG",33,"","$1,471,382","1.48%","minnesota timberwolves",2017
"Tyus Jones","PG",21,"RK","$1,471,382","1.48%","minnesota timberwolves",2017
"Marcus Georges-Hunt","SG",23,"","$1,312,611","1.32%","minnesota timberwolves",2017
"Derrick Rose","PG",29,"","$290,951","0.29%","minnesota timberwolves",2017
"Amile Jefferson","PF",24,"","$4,608","0.00%","minnesota timberwolves",2017
"Anthony Brown","SF",25,"TW","-","-","minnesota timberwolves",2017
"Andrew Wiggins","SF",23,"DRK-EXT","$25,467,250","25.00%","minnesota timberwolves",2018
"Jeff Teague","PG",30,"","$19,000,000","18.65%","minnesota timberwolves",2018
"Gorgui Dieng","C",29,"RK-EXT","$15,170,787","14.89%","minnesota timberwolves",2018
"Taj Gibson","C",33,"","$14,000,000","13.74%","minnesota timberwolves",2018
"Robert Covington","PF",28,"VET-EXT","$10,464,092","10.27%","minnesota timberwolves",2018
"Jerryd Bayless","PG",30,"","$8,575,916","8.42%","minnesota timberwolves",2018
"Karl-Anthony Towns","C",23,"RK","$7,839,435","7.70%","minnesota timberwolves",2018
"Anthony Tolliver","PF",33,"","$5,750,000","5.64%","minnesota timberwolves",2018
"Dario Saric","PF",24,"RK","$2,526,840","2.48%","minnesota timberwolves",2018
"Tyus Jones","PG",22,"RK","$2,444,053","2.40%","minnesota timberwolves",2018
"Josh Okogie","SG",20,"RK","$2,160,720","2.12%","minnesota timberwolves",2018
"Luol Deng","SF",33,"","$1,512,601","1.48%","minnesota timberwolves",2018
"Derrick Rose","PG",30,"","$1,512,601","1.48%","minnesota timberwolves",2018
"Keita Bates-Diop","SF",23,"RK","$838,464","0.82%","minnesota timberwolves",2018
"Cam Reynolds","F",23,"","$108,953","0.11%","minnesota timberwolves",2018
"Mitch Creek","G",26,"ROS","$9,474","0.01%","minnesota timberwolves",2018
"C.J. Williams","SG",28,"TW","-","-","minnesota timberwolves",2018
"Jared Terrell","SG",NA,"TW","-","-","minnesota timberwolves",2018
"D'Angelo Russell","PG",23,"Maximum","$27,285,000","25.00%","minnesota timberwolves",2019
"Karl-Anthony Towns","C",24,"DRK-EXT","$27,285,000","25.00%","minnesota timberwolves",2019
"Evan Turner","SF",31,"","$18,606,557","17.05%","minnesota timberwolves",2019
"James Johnson","PF",32,"","$15,129,400","13.86%","minnesota timberwolves",2019
"Jarrett Culver","SG",20,"RK","$5,813,640","5.33%","minnesota timberwolves",2019
"Jake Layman","SF",25,"FA","$3,581,986","3.28%","minnesota timberwolves",2019
"Juancho Hernangomez","PF",24,"RK","$3,321,030","3.04%","minnesota timberwolves",2019
"Malik Beasley","SG",23,"RK","$2,731,714","2.50%","minnesota timberwolves",2019
"Josh Okogie","SG",21,"RK","$2,530,680","2.32%","minnesota timberwolves",2019
"Jacob Evans","SG",22,"RK","$1,925,880","1.76%","minnesota timberwolves",2019
"Omari Spellman","PF",22,"RK","$1,897,800","1.74%","minnesota timberwolves",2019
"Jarred Vanderbilt","PF",20,"RK","$1,416,852","1.30%","minnesota timberwolves",2019
"Jaylen Nowell","SG",20,"RK","$1,400,000","1.28%","minnesota timberwolves",2019
"Naz Reid","C",20,"","$898,310","0.82%","minnesota timberwolves",2019
"Jordan McLaughlin","PG",23,"TW","-","-","minnesota timberwolves",2019
"Kelan Martin","SF",24,"TW","-","-","minnesota timberwolves",2019
"Karl-Anthony Towns","C",25,"DRK-EXT","$29,467,800","27.00%","minnesota timberwolves",2020
"D'Angelo Russell","PG",24,"Maximum","$28,649,250","26.25%","minnesota timberwolves",2020
"Ricky Rubio","PG",30,"FA","$17,000,000","15.58%","minnesota timberwolves",2020
"Malik Beasley","SG",24,"FA","$13,425,895","12.30%","minnesota timberwolves",2020
"Anthony Edwards","SG",19,"RK","$9,757,440","8.94%","minnesota timberwolves",2020
"Juancho Hernangomez","PF",25,"FA","$6,493,000","5.95%","minnesota timberwolves",2020
"Jarrett Culver","SG",21,"RK","$6,104,280","5.59%","minnesota timberwolves",2020
"Ed Davis","C",31,"FA","$5,005,350","4.59%","minnesota timberwolves",2020
"Jake Layman","SF",26,"FA","$3,761,085","3.45%","minnesota timberwolves",2020
"Josh Okogie","SG",22,"RK","$2,651,040","2.43%","minnesota timberwolves",2020
"Jaden McDaniels","PF",20,"RK","$1,964,760","1.80%","minnesota timberwolves",2020
"Jarred Vanderbilt","PF",21,"RK","$1,663,861","1.52%","minnesota timberwolves",2020
"Naz Reid","C",21,"","$1,517,981","1.39%","minnesota timberwolves",2020
"Jaylen Nowell","SG",21,"RK","$1,517,981","1.39%","minnesota timberwolves",2020
"Jordan McLaughlin","PG",24,"TW","-","-","minnesota timberwolves",2020
"Karl-Anthony Towns","C",26,"DRK-EXT","$31,650,600","28.16%","minnesota timberwolves",2021
"D'Angelo Russell","PG",25,"Maximum","$30,013,500","26.70%","minnesota timberwolves",2021
"Malik Beasley","SG",25,"FA","$14,491,964","12.89%","minnesota timberwolves",2021
"Patrick Beverley","PG",33,"FA","$14,320,987","12.74%","minnesota timberwolves",2021
"Taurean Prince","PF",27,"RK-EXT","$13,334,375","11.86%","minnesota timberwolves",2021
"Anthony Edwards","SG",20,"RK","$10,245,480","9.11%","minnesota timberwolves",2021
"Josh Okogie","SG",23,"RK","$4,087,904","3.64%","minnesota timberwolves",2021
"Jarred Vanderbilt","PF",22,"FA","$4,050,000","3.60%","minnesota timberwolves",2021
"Jake Layman","SF",27,"FA","$3,940,184","3.51%","minnesota timberwolves",2021
"Leandro Bolmaro","SG",21,"RK","$2,353,320","2.09%","minnesota timberwolves",2021
"Jaden McDaniels","PF",21,"RK","$2,063,280","1.84%","minnesota timberwolves",2021
"Jordan McLaughlin","PG",25,"FA","$2,000,000","1.78%","minnesota timberwolves",2021
"Jaylen Nowell","SG",22,"RK","$1,782,621","1.59%","minnesota timberwolves",2021
"Naz Reid","C",22,"","$1,782,621","1.59%","minnesota timberwolves",2021
"Greg Monroe","C",31,"ROS","$38,372","0.03%","minnesota timberwolves",2021
"Nathan Knight","PF",24,"TW","-","-","minnesota timberwolves",2021
"McKinley Wright IV","PG",23,"TW","-","-","minnesota timberwolves",2021
"Rudy Gobert","C",30,"Maximum-extension","$38,172,414","30.87%","minnesota timberwolves",2022
"Karl-Anthony Towns","C",27,"DRK-EXT","$33,833,400","27.36%","minnesota timberwolves",2022
"Mike Conley","PG",35,"FA","$22,680,000","18.34%","minnesota timberwolves",2022
"Anthony Edwards","SG",21,"RK","$10,733,400","8.68%","minnesota timberwolves",2022
"Kyle Anderson","PF",29,"FA","$8,780,488","7.10%","minnesota timberwolves",2022
"Taurean Prince","PF",28,"VET-EXT","$7,100,000","5.74%","minnesota timberwolves",2022
"Nickeil Alexander-Walker","SG",24,"RK","$5,009,633","4.05%","minnesota timberwolves",2022
"Wendell Moore Jr.","SG",21,"RK","$2,306,520","1.87%","minnesota timberwolves",2022
"Jaden McDaniels","PF",22,"RK","$2,161,440","1.75%","minnesota timberwolves",2022
"Jordan McLaughlin","PG",26,"FA","$2,160,000","1.75%","minnesota timberwolves",2022
"Jaylen Nowell","SG",23,"RK","$1,930,681","1.56%","minnesota timberwolves",2022
"Naz Reid","C",23,"","$1,930,681","1.56%","minnesota timberwolves",2022
"Austin Rivers","SG",30,"FA","$1,836,090","1.48%","minnesota timberwolves",2022
"Nathan Knight","PF",25,"FA","$1,836,090","1.48%","minnesota timberwolves",2022
"Josh Minott","SF",20,"RK","$1,017,781","0.82%","minnesota timberwolves",2022
"Luka Garza","C",24,"TW","-","-","minnesota timberwolves",2022
"Matt Ryan","SF",25,"TW","-","-","minnesota timberwolves",2022
"Rudy Gobert","C",31,"Maximum-extension","$41,000,000","30.14%","minnesota timberwolves",2023
"Karl-Anthony Towns","C",28,"DRK-EXT","$36,016,200","26.48%","minnesota timberwolves",2023
"Mike Conley","PG",36,"FA","$24,360,000","17.91%","minnesota timberwolves",2023
"Anthony Edwards","SG",22,"RK","$13,534,817","9.95%","minnesota timberwolves",2023
"Naz Reid","C",24,"VET-EXT","$12,950,400","9.52%","minnesota timberwolves",2023
"Monte Morris","PG",28,"VET-EXT","$9,800,926","7.21%","minnesota timberwolves",2023
"Kyle Anderson","PF",30,"FA","$9,219,512","6.78%","minnesota timberwolves",2023
"Nickeil Alexander-Walker","SG",25,"FA","$4,687,500","3.45%","minnesota timberwolves",2023
"Jaden McDaniels","PF",23,"RK","$3,901,399","2.87%","minnesota timberwolves",2023
"Wendell Moore Jr.","SG",22,"RK","$2,421,720","1.78%","minnesota timberwolves",2023
"Jordan McLaughlin","PG",27,"FA","$2,420,000","1.78%","minnesota timberwolves",2023
"Leonard Miller","SF",20,"RK","$1,800,000","1.32%","minnesota timberwolves",2023
"Josh Minott","SF",21,"RK","$1,719,864","1.26%","minnesota timberwolves",2023
"T.J. Warren","SF",30,"ROS","$220,543","0.16%","minnesota timberwolves",2023
"Luka Garza","C",25,"ROS","$127,683","0.09%","minnesota timberwolves",2023
"Daishen Nix","PG",21,"TW","-","-","minnesota timberwolves",2023
"Jaylen Clark","SG",22,"TW","-","-","minnesota timberwolves",2023
"Karl-Anthony Towns","C",29,"DVET-EXT","$49,205,800","35.00%","minnesota timberwolves",2024
"Rudy Gobert","C",32,"Maximum-extension","$43,827,587","31.17%","minnesota timberwolves",2024
"Anthony Edwards","SG",23,"DRK-EXT","$42,176,400","30.00%","minnesota timberwolves",2024
"Jaden McDaniels","PF",24,"RK-EXT","$23,017,242","16.37%","minnesota timberwolves",2024
"Naz Reid","C",25,"VET-EXT","$13,986,432","9.95%","minnesota timberwolves",2024
"Mike Conley","PG",37,"VET-EXT","$9,975,962","7.10%","minnesota timberwolves",2024
"Rob Dillingham","PG",20,"RK","$6,262,920","4.45%","minnesota timberwolves",2024
"Nickeil Alexander-Walker","SG",26,"FA","$4,312,500","3.07%","minnesota timberwolves",2024
"Terrence Shannon","SG",24,"RK","$2,546,640","1.81%","minnesota timberwolves",2024
"Luka Garza","C",26,"FA","$2,162,606","1.54%","minnesota timberwolves",2024
"Joe Ingles","SF",37,"FA","$2,087,519","1.48%","minnesota timberwolves",2024
"P.J. Dozier","PG",28,"FA","$2,087,519","1.48%","minnesota timberwolves",2024
"Josh Minott","SF",22,"RK","$2,019,699","1.44%","minnesota timberwolves",2024
"Leonard Miller","SF",21,"RK","$1,891,857","1.35%","minnesota timberwolves",2024
"Daishen Nix","PG",22,"TW","-","-","minnesota timberwolves",2024
"Jaylen Clark","SG",23,"TW","-","-","minnesota timberwolves",2024
"Jesse Edwards","C",24,"TW","-","-","minnesota timberwolves",2024
"Kevin Durant","SF",23,"Rookie-maximum-extension","$15,506,632","26.72%","oklahoma city thunder",2011
"Kendrick Perkins","C",27,"VET-EXT","$7,123,626","12.27%","oklahoma city thunder",2011
"Russell Westbrook","PG",23,"RK","$5,082,415","8.76%","oklahoma city thunder",2011
"James Harden","SG",22,"RK","$4,604,760","7.93%","oklahoma city thunder",2011
"Nazr Mohammed","C",34,"VET-EXT","$3,750,000","6.46%","oklahoma city thunder",2011
"Daequan Cook","SG",24,"","$3,341,558","5.76%","oklahoma city thunder",2011
"Thabo Sefolosha","SF",27,"EXT","$3,300,000","5.69%","oklahoma city thunder",2011
"Nick Collison","PF",31,"VET-EXT","$3,272,997","5.64%","oklahoma city thunder",2011
"Derek Fisher","PG",37,"","$2,329,545","4.01%","oklahoma city thunder",2011
"Cole Aldrich","C",23,"RK","$2,286,000","3.94%","oklahoma city thunder",2011
"Eric Maynor","PG",24,"","$1,516,680","2.61%","oklahoma city thunder",2011
"Serge Ibaka","C",22,"RK","$1,288,200","2.22%","oklahoma city thunder",2011
"Royal Ivey","PG",30,"","$1,200,000","2.07%","oklahoma city thunder",2011
"Reggie Jackson","PG",21,"RK","$1,156,320","1.99%","oklahoma city thunder",2011
"Lazar Hayward","PF",25,"RK","$1,097,520","1.89%","oklahoma city thunder",2011
"Kevin Durant","SF",24,"Rookie-maximum-extension","$16,669,629","28.72%","oklahoma city thunder",2012
"Russell Westbrook","PG",24,"DRK-EXT","$13,668,750","23.55%","oklahoma city thunder",2012
"Kevin Martin","SG",30,"EXT","$12,439,675","21.43%","oklahoma city thunder",2012
"Kendrick Perkins","C",28,"VET-EXT","$8,300,531","14.30%","oklahoma city thunder",2012
"Thabo Sefolosha","SF",28,"EXT","$3,600,000","6.20%","oklahoma city thunder",2012
"Nick Collison","PF",32,"VET-EXT","$2,929,332","5.05%","oklahoma city thunder",2012
"Serge Ibaka","C",23,"RK","$2,253,061","3.88%","oklahoma city thunder",2012
"Jeremy Lamb","SG",20,"RK","$2,020,200","3.48%","oklahoma city thunder",2012
"Reggie Jackson","PG",22,"RK","$1,208,400","2.08%","oklahoma city thunder",2012
"Hasheem Thabeet","C",25,"","$1,200,000","2.07%","oklahoma city thunder",2012
"Perry Jones III","SF",21,"RK","$1,035,960","1.78%","oklahoma city thunder",2012
"Ronnie Brewer","SF",27,"","$854,389","1.47%","oklahoma city thunder",2012
"Daniel Orton","C",22,"","$854,389","1.47%","oklahoma city thunder",2012
"DeAndre Liggins","SG",24,"","$762,195","1.31%","oklahoma city thunder",2012
"Derek Fisher","PG",38,"","$261,343","0.45%","oklahoma city thunder",2012
"Kevin Durant","SF",25,"Rookie-maximum-extension","$17,832,627","30.39%","oklahoma city thunder",2013
"Russell Westbrook","PG",25,"DRK-EXT","$14,693,906","25.04%","oklahoma city thunder",2013
"Serge Ibaka","C",24,"RK-EXT","$12,350,000","21.05%","oklahoma city thunder",2013
"Kendrick Perkins","C",29,"VET-EXT","$8,727,437","14.87%","oklahoma city thunder",2013
"Thabo Sefolosha","SF",29,"EXT","$3,900,000","6.65%","oklahoma city thunder",2013
"Nick Collison","PF",33,"VET-EXT","$2,585,668","4.41%","oklahoma city thunder",2013
"Jeremy Lamb","SG",21,"RK","$2,111,160","3.60%","oklahoma city thunder",2013
"Steven Adams","C",20,"RK","$2,090,880","3.56%","oklahoma city thunder",2013
"Reggie Jackson","PG",23,"RK","$1,260,360","2.15%","oklahoma city thunder",2013
"Hasheem Thabeet","C",26,"","$1,200,000","2.05%","oklahoma city thunder",2013
"Perry Jones III","SF",22,"RK","$1,082,520","1.84%","oklahoma city thunder",2013
"Caron Butler","SF",33,"","$1,000,000","1.70%","oklahoma city thunder",2013
"Derek Fisher","PG",39,"","$884,293","1.51%","oklahoma city thunder",2013
"Andre Roberson","SG",22,"RK","$740,560","1.26%","oklahoma city thunder",2013
"Grant Jerrett","PF",20,"RK","$28,834","0.05%","oklahoma city thunder",2013
"Kevin Durant","SF",26,"Rookie-maximum-extension","$18,995,624","30.12%","oklahoma city thunder",2014
"Russell Westbrook","PG",26,"DRK-EXT","$15,719,062","24.93%","oklahoma city thunder",2014
"Serge Ibaka","C",25,"RK-EXT","$12,350,000","19.58%","oklahoma city thunder",2014
"Enes Freedom","C",22,"RK","$5,694,674","9.03%","oklahoma city thunder",2014
"Dion Waiters","SG",23,"RK","$4,062,000","6.44%","oklahoma city thunder",2014
"Steve Novak","SF",31,"","$3,445,947","5.46%","oklahoma city thunder",2014
"Anthony Morrow","SG",29,"","$3,200,000","5.07%","oklahoma city thunder",2014
"D.J. Augustin","PG",27,"","$3,000,000","4.76%","oklahoma city thunder",2014
"Nick Collison","PF",34,"VET-EXT","$2,242,003","3.56%","oklahoma city thunder",2014
"Jeremy Lamb","SG",22,"RK","$2,202,000","3.49%","oklahoma city thunder",2014
"Steven Adams","C",21,"RK","$2,184,960","3.46%","oklahoma city thunder",2014
"Mitch McGary","PF",22,"RK","$1,400,040","2.22%","oklahoma city thunder",2014
"Andre Roberson","SG",23,"RK","$1,160,880","1.84%","oklahoma city thunder",2014
"Perry Jones III","SF",23,"RK","$1,129,200","1.79%","oklahoma city thunder",2014
"Kyle Singler","SF",26,"RK","$1,090,000","1.73%","oklahoma city thunder",2014
"Kevin Durant","SF",27,"Rookie-maximum-extension","$20,158,622","28.80%","oklahoma city thunder",2015
"Russell Westbrook","PG",27,"DRK-EXT","$16,744,218","23.92%","oklahoma city thunder",2015
"Enes Freedom","C",23,"Maximum","$16,407,500","23.44%","oklahoma city thunder",2015
"Serge Ibaka","C",26,"RK-EXT","$12,250,000","17.50%","oklahoma city thunder",2015
"Dion Waiters","SG",24,"RK","$5,138,430","7.34%","oklahoma city thunder",2015
"Kyle Singler","SF",27,"","$4,500,000","6.43%","oklahoma city thunder",2015
"Nick Collison","PF",35,"VET-EXT","$3,750,000","5.36%","oklahoma city thunder",2015
"Anthony Morrow","SG",30,"","$3,344,000","4.78%","oklahoma city thunder",2015
"Randy Foye","SG",32,"S&T","$3,135,000","4.48%","oklahoma city thunder",2015
"Steven Adams","C",22,"RK","$2,279,040","3.26%","oklahoma city thunder",2015
"Cameron Payne","PG",21,"RK","$2,021,520","2.89%","oklahoma city thunder",2015
"Mitch McGary","PF",23,"RK","$1,463,040","2.09%","oklahoma city thunder",2015
"Andre Roberson","SG",24,"RK","$1,210,800","1.73%","oklahoma city thunder",2015
"Josh Huestis","SF",24,"RK","$1,140,240","1.63%","oklahoma city thunder",2015
"Nazr Mohammed","C",38,"","$222,888","0.32%","oklahoma city thunder",2015
"Russell Westbrook","PG",28,"Maximum-extension","$26,540,100","28.19%","oklahoma city thunder",2016
"Enes Freedom","C",24,"Maximum","$17,145,838","18.21%","oklahoma city thunder",2016
"Taj Gibson","C",31,"RK-EXT","$8,950,000","9.51%","oklahoma city thunder",2016
"Victor Oladipo","SG",24,"RK","$6,552,960","6.96%","oklahoma city thunder",2016
"Alex Abrines","SG",24,"","$5,994,764","6.37%","oklahoma city thunder",2016
"Kyle Singler","SF",28,"","$4,837,500","5.14%","oklahoma city thunder",2016
"Nick Collison","PF",36,"VET-EXT","$3,750,000","3.98%","oklahoma city thunder",2016
"Steven Adams","C",23,"RK","$3,140,517","3.34%","oklahoma city thunder",2016
"Doug McDermott","SF",25,"RK","$2,483,040","2.64%","oklahoma city thunder",2016
"Domantas Sabonis","PF",20,"RK","$2,440,200","2.59%","oklahoma city thunder",2016
"Andre Roberson","SG",25,"RK","$2,183,072","2.32%","oklahoma city thunder",2016
"Josh Huestis","SF",25,"RK","$1,191,480","1.27%","oklahoma city thunder",2016
"Jerami Grant","PF",22,"RK","$980,431","1.04%","oklahoma city thunder",2016
"Semaj Christon","PG",24,"","$543,471","0.58%","oklahoma city thunder",2016
"Norris Cole","PG",28,"","$247,991","0.26%","oklahoma city thunder",2016
"Russell Westbrook","PG",29,"Maximum-extension","$28,530,608","28.79%","oklahoma city thunder",2017
"Carmelo Anthony","PF",33,"Maximum","$26,243,760","26.48%","oklahoma city thunder",2017
"Steven Adams","C",24,"RK-EXT","$22,471,910","22.68%","oklahoma city thunder",2017
"Paul George","SG",27,"DRK-EXT","$19,508,958","19.69%","oklahoma city thunder",2017
"Andre Roberson","SG",26,"","$9,259,260","9.34%","oklahoma city thunder",2017
"Alex Abrines","SG",25,"","$5,725,000","5.78%","oklahoma city thunder",2017
"Patrick Patterson","PF",28,"","$5,192,000","5.24%","oklahoma city thunder",2017
"Kyle Singler","SF",29,"","$4,666,500","4.71%","oklahoma city thunder",2017
"Terrance Ferguson","SF",19,"RK","$1,785,000","1.80%","oklahoma city thunder",2017
"Jerami Grant","PF",23,"RK","$1,524,305","1.54%","oklahoma city thunder",2017
"Raymond Felton","PG",33,"","$1,471,382","1.48%","oklahoma city thunder",2017
"Nick Collison","PF",37,"","$1,471,382","1.48%","oklahoma city thunder",2017
"Josh Huestis","SF",26,"RK","$1,471,382","1.48%","oklahoma city thunder",2017
"Dakari Johnson","C",22,"RK","$815,615","0.82%","oklahoma city thunder",2017
"Corey Brewer","SG",31,"","$340,829","0.34%","oklahoma city thunder",2017
"Daniel Hamilton","SG",22,"TW","-","-","oklahoma city thunder",2017
"P.J. Dozier","PG",21,"TW","-","-","oklahoma city thunder",2017
"Russell Westbrook","PG",30,"DVET-EXT","$35,654,150","35.00%","oklahoma city thunder",2018
"Paul George","SG",28,"Maximum","$30,560,700","30.00%","oklahoma city thunder",2018
"Steven Adams","C",25,"RK-EXT","$24,157,303","23.71%","oklahoma city thunder",2018
"Dennis Schröder","PG",25,"RK-EXT","$15,500,000","15.22%","oklahoma city thunder",2018
"Andre Roberson","SG",27,"","$10,000,000","9.82%","oklahoma city thunder",2018
"Jerami Grant","PF",24,"","$8,653,847","8.50%","oklahoma city thunder",2018
"Patrick Patterson","PF",29,"","$5,451,600","5.35%","oklahoma city thunder",2018
"Terrance Ferguson","SF",20,"RK","$2,118,840","2.08%","oklahoma city thunder",2018
"Nerlens Noel","C",24,"","$1,757,429","1.73%","oklahoma city thunder",2018
"Raymond Felton","PG",34,"","$1,512,601","1.48%","oklahoma city thunder",2018
"Abdel Nader","SF",25,"","$1,378,242","1.35%","oklahoma city thunder",2018
"Hamidou Diallo","SG",20,"RK","$838,464","0.82%","oklahoma city thunder",2018
"Markieff Morris","PF",29,"","$427,289","0.42%","oklahoma city thunder",2018
"Deonte Burton","SF",25,"","$151,587","0.15%","oklahoma city thunder",2018
"Jawun Evans","PG",22,"TW","-","-","oklahoma city thunder",2018
"Donte Grantham","PF",23,"TW","-","-","oklahoma city thunder",2018
"Chris Paul","PG",34,"Maximum","$38,506,482","35.28%","oklahoma city thunder",2019
"Steven Adams","C",26,"RK-EXT","$25,842,697","23.68%","oklahoma city thunder",2019
"Danilo Gallinari","PF",31,"S&T","$22,615,559","20.72%","oklahoma city thunder",2019
"Dennis Schröder","PG",26,"RK-EXT","$15,500,000","14.20%","oklahoma city thunder",2019
"Andre Roberson","SG",28,"","$10,740,740","9.84%","oklahoma city thunder",2019
"Shai Gilgeous-Alexander","PG",21,"RK","$3,952,920","3.62%","oklahoma city thunder",2019
"Terrance Ferguson","SF",21,"RK","$2,475,840","2.27%","oklahoma city thunder",2019
"Darius Bazley","PF",19,"RK","$2,284,800","2.09%","oklahoma city thunder",2019
"Mike Muscala","C",28,"FA","$2,028,594","1.86%","oklahoma city thunder",2019
"Nerlens Noel","C",25,"FA","$1,620,564","1.48%","oklahoma city thunder",2019
"Abdel Nader","SF",26,"","$1,618,520","1.48%","oklahoma city thunder",2019
"Isaiah Roby","PF",21,"RK","$1,500,000","1.37%","oklahoma city thunder",2019
"Jawun Evans","PG",23,"TW","$1,445,697","1.32%","oklahoma city thunder",2019
"Deonte Burton","SF",26,"","$1,416,852","1.30%","oklahoma city thunder",2019
"Hamidou Diallo","SG",21,"RK","$1,416,852","1.30%","oklahoma city thunder",2019
"Luguentz Dort","SG",20,"ROS","$155,647","0.14%","oklahoma city thunder",2019
"Kevin Hervey","SF",23,"TW","-","-","oklahoma city thunder",2019
"Devon Hall","SG",24,"TW","-","-","oklahoma city thunder",2019
"Al Horford","C",34,"FA","$27,500,000","25.20%","oklahoma city thunder",2020
"Shai Gilgeous-Alexander","PG",22,"RK","$4,141,320","3.79%","oklahoma city thunder",2020
"Gabriel Deck","F",25,"ROS","$3,870,370","3.55%","oklahoma city thunder",2020
"Tony Bradley","C",23,"RK","$3,542,060","3.25%","oklahoma city thunder",2020
"Aleksej Pokusevski","PF",19,"RK","$2,964,840","2.72%","oklahoma city thunder",2020
"Darius Bazley","PF",20,"RK","$2,399,160","2.20%","oklahoma city thunder",2020
"Ty Jerome","SG",23,"RK","$2,303,040","2.11%","oklahoma city thunder",2020
"Mike Muscala","C",29,"FA","$2,283,034","2.09%","oklahoma city thunder",2020
"Kenrich Williams","PF",26,"S&T","$2,000,000","1.83%","oklahoma city thunder",2020
"Theo Maledon","PG",19,"RK","$2,000,000","1.83%","oklahoma city thunder",2020
"Sviatoslav Mykhailiuk","SG",23,"RK","$1,663,861","1.52%","oklahoma city thunder",2020
"Isaiah Roby","PF",22,"RK","$1,517,981","1.39%","oklahoma city thunder",2020
"Luguentz Dort","SG",21,"ROS","$1,517,981","1.39%","oklahoma city thunder",2020
"Jawun Evans","PG",24,"TW","$1,445,697","1.32%","oklahoma city thunder",2020
"Kevin Hervey","SF",24,"TW","$1,445,697","1.32%","oklahoma city thunder",2020
"Moses Brown","C",21,"ROS","$1,250,000","1.15%","oklahoma city thunder",2020
"Charlie Brown Jr.","SG",22,"ROS","$19,804","0.02%","oklahoma city thunder",2020
"Jaylen Hoard","F",21,"TW","-","-","oklahoma city thunder",2020
"Josh Hall","SF",20,"TW","-","-","oklahoma city thunder",2020
"Derrick Favors","C",30,"FA","$9,720,900","8.65%","oklahoma city thunder",2021
"Josh Giddey","SG",19,"RK","$5,988,000","5.33%","oklahoma city thunder",2021
"Shai Gilgeous-Alexander","PG",23,"RK","$5,495,532","4.89%","oklahoma city thunder",2021
"Mike Muscala","C",30,"FA","$3,500,000","3.11%","oklahoma city thunder",2021
"Aleksej Pokusevski","PF",20,"RK","$3,113,160","2.77%","oklahoma city thunder",2021
"Tre Mann","PG",20,"RK","$2,901,240","2.58%","oklahoma city thunder",2021
"Darius Bazley","PF",21,"RK","$2,513,040","2.24%","oklahoma city thunder",2021
"Ty Jerome","SG",24,"RK","$2,412,840","2.15%","oklahoma city thunder",2021
"Kenrich Williams","PF",27,"S&T","$2,000,000","1.78%","oklahoma city thunder",2021
"Theo Maledon","PG",20,"RK","$2,000,000","1.78%","oklahoma city thunder",2021
"Jeremiah Robinson-Earl","PF",21,"RK","$2,000,000","1.78%","oklahoma city thunder",2021
"Isaiah Roby","PF",23,"RK","$1,782,621","1.59%","oklahoma city thunder",2021
"Luguentz Dort","SG",22,"ROS","$1,782,621","1.59%","oklahoma city thunder",2021
"Aaron Wiggins","SG",23,"ROS","$1,000,000","0.89%","oklahoma city thunder",2021
"Vit Krejci","PG",21,"RK","$925,258","0.82%","oklahoma city thunder",2021
"Melvin Frazier Jr.","SF",25,"TW","-","-","oklahoma city thunder",2021
"Lindy Waters III","SF",24,"TW","-","-","oklahoma city thunder",2021
"Shai Gilgeous-Alexander","PG",24,"DRK-EXT","$30,913,750","25.00%","oklahoma city thunder",2022
"Luguentz Dort","SG",23,"FA","$15,277,778","12.36%","oklahoma city thunder",2022
"Chet Holmgren","C",20,"RK","$9,891,240","8.00%","oklahoma city thunder",2022
"Dario Saric","PF",28,"FA","$9,240,000","7.47%","oklahoma city thunder",2022
"Josh Giddey","SG",20,"RK","$6,287,400","5.08%","oklahoma city thunder",2022
"Ousmane Dieng","SF",19,"RK","$4,569,840","3.70%","oklahoma city thunder",2022
"Jalen Williams","SF",21,"RK","$4,341,480","3.51%","oklahoma city thunder",2022
"Aleksej Pokusevski","PF",21,"RK","$3,261,480","2.64%","oklahoma city thunder",2022
"Tre Mann","PG",21,"RK","$3,046,200","2.46%","oklahoma city thunder",2022
"Kenrich Williams","PF",28,"S&T","$2,000,000","1.62%","oklahoma city thunder",2022
"Jeremiah Robinson-Earl","PF",22,"RK","$2,000,000","1.62%","oklahoma city thunder",2022
"Jaylin Williams","C",20,"RK","$2,000,000","1.62%","oklahoma city thunder",2022
"Lindy Waters III","SF",25,"ROS","$1,927,896","1.56%","oklahoma city thunder",2022
"Isaiah Joe","SG",23,"FA","$1,836,090","1.48%","oklahoma city thunder",2022
"Aaron Wiggins","SG",24,"ROS","$1,563,518","1.26%","oklahoma city thunder",2022
"Jared Butler","PG",22,"TW","-","-","oklahoma city thunder",2022
"Olivier Sarr","C",23,"TW","-","-","oklahoma city thunder",2022
"Shai Gilgeous-Alexander","PG",25,"DRK-EXT","$33,386,850","24.55%","oklahoma city thunder",2023
"Gordon Hayward","SF",33,"S&T","$33,319,397","24.50%","oklahoma city thunder",2023
"Luguentz Dort","SG",24,"FA","$15,277,778","11.23%","oklahoma city thunder",2023
"Chet Holmgren","C",21,"RK","$10,386,000","7.64%","oklahoma city thunder",2023
